Geographic Area,Rank,Reversed Rank,Normalized Reversed Rank,PrepEvac_SVI
"Gregg County, Texas",107,29,0.208955224,0.208955224
"Pulaski County, Kentucky",107,29,0.208955224,0.208955224
"Lewis County, Missouri",107,29,0.208955224,0.208955224
"Roane County, Tennessee",107,29,0.208955224,0.208955224
"Wyoming County, Pennsylvania",107,29,0.208955224,0.208955224
"Caswell County, North Carolina",107,29,0.208955224,0.208955224
"Buchanan County, Missouri",107,29,0.208955224,0.208955224
"Haralson County, Georgia",107,29,0.208955224,0.208955224
"Greenwood County, South Carolina",107,29,0.208955224,0.208955224
"Macon County, Illinois",107,29,0.208955224,0.208955224
"Crawford County, Illinois",107,29,0.208955224,0.208955224
"Schuyler County, New York",107,29,0.208955224,0.208955224
"Bedford County, Tennessee",107,29,0.208955224,0.208955224
"Lincoln County, Georgia",107,29,0.208955224,0.208955224
"McMinn County, Tennessee",107,29,0.208955224,0.208955224
"Venango County, Pennsylvania",108,28,0.201492537,0.201492537
"Rockingham County, North Carolina",108,28,0.201492537,0.201492537
"Clinton County, Missouri",108,28,0.201492537,0.201492537
"Thomas County, Georgia",108,28,0.201492537,0.201492537
"Hardin County, Kentucky",108,28,0.201492537,0.201492537
"Logan County, Illinois",108,28,0.201492537,0.201492537
"Polk County, Tennessee",108,28,0.201492537,0.201492537
"Marshall County, Kentucky",108,28,0.201492537,0.201492537
"Lancaster County, South Carolina",108,28,0.201492537,0.201492537
"Stoddard County, Missouri",108,28,0.201492537,0.201492537
"Harmon County, Oklahoma",108,28,0.201492537,0.201492537
"Mercer County, Pennsylvania",108,28,0.201492537,0.201492537
"Sullivan County, Tennessee",108,28,0.201492537,0.201492537
"Allegany County, New York",108,28,0.201492537,0.201492537
"Luzerne County, Pennsylvania",108,28,0.201492537,0.201492537
"Calhoun County, South Carolina",109,27,0.194029851,0.194029851
"Chautauqua County, New York",109,27,0.194029851,0.194029851
"Carroll County, Ohio",109,27,0.194029851,0.194029851
"Chemung County, New York",109,27,0.194029851,0.194029851
"Washington County, Alabama",109,27,0.194029851,0.194029851
"Polk County, Missouri",109,27,0.194029851,0.194029851
"Gray County, Texas",109,27,0.194029851,0.194029851
"Stark County, Ohio",109,27,0.194029851,0.194029851
"Randolph County, Indiana",109,27,0.194029851,0.194029851
"Vermillion County, Indiana",109,27,0.194029851,0.194029851
"Madison County, Missouri",109,27,0.194029851,0.194029851
"Carbon County, Pennsylvania",109,27,0.194029851,0.194029851
"Pittsburg County, Oklahoma",110,26,0.186567164,0.186567164
"Panola County, Texas",110,26,0.186567164,0.186567164
"Gilmer County, Georgia",110,26,0.186567164,0.186567164
"Tom Green County, Texas",110,26,0.186567164,0.186567164
"Lawrence County, Illinois",110,26,0.186567164,0.186567164
"Suwannee County, Florida",110,26,0.186567164,0.186567164
"Audrain County, Missouri",110,26,0.186567164,0.186567164
"Vermilion County, Illinois",110,26,0.186567164,0.186567164
"McKean County, Pennsylvania",110,26,0.186567164,0.186567164
"Knox County, Ohio",110,26,0.186567164,0.186567164
"Wythe County, Virginia",110,26,0.186567164,0.186567164
"Bradford County, Florida",110,26,0.186567164,0.186567164
"St. Martin Parish, Louisiana",110,26,0.186567164,0.186567164
"Dorchester County, Maryland",110,26,0.186567164,0.186567164
"Blount County, Alabama",110,26,0.186567164,0.186567164
"Adams County, Illinois",110,26,0.186567164,0.186567164
"Franklin County, Illinois",110,26,0.186567164,0.186567164
"McDuffie County, Georgia",110,26,0.186567164,0.186567164
"Rapides Parish, Louisiana",110,26,0.186567164,0.186567164
"Wayne County, Georgia",111,25,0.179104478,0.179104478
"Cherokee County, Texas",111,25,0.179104478,0.179104478
"Seneca County, New York",111,25,0.179104478,0.179104478
"Taney County, Missouri",111,25,0.179104478,0.179104478
"Dyer County, Tennessee",111,25,0.179104478,0.179104478
"St. Francois County, Missouri",111,25,0.179104478,0.179104478
"Glascock County, Georgia",111,25,0.179104478,0.179104478
"Mason County, Kentucky",111,25,0.179104478,0.179104478
"Edgar County, Illinois",111,25,0.179104478,0.179104478
"Florence County, South Carolina",111,25,0.179104478,0.179104478
"Jackson County, Ohio",111,25,0.179104478,0.179104478
"Preble County, Ohio",111,25,0.179104478,0.179104478
"Washington County, New York",111,25,0.179104478,0.179104478
"Schuylkill County, Pennsylvania",111,25,0.179104478,0.179104478
"White County, Illinois",111,25,0.179104478,0.179104478
"Laurens County, South Carolina",111,25,0.179104478,0.179104478
"Lawrence County, Pennsylvania",111,25,0.179104478,0.179104478
"Lincoln County, Arkansas",111,25,0.179104478,0.179104478
"Lake County, Indiana",111,25,0.179104478,0.179104478
"St. Clair County, Alabama",111,25,0.179104478,0.179104478
"Mifflin County, Pennsylvania",112,24,0.171641791,0.171641791
"Tazewell County, Virginia",112,24,0.171641791,0.171641791
"Lebanon County, Pennsylvania",112,24,0.171641791,0.171641791
"Columbiana County, Ohio",112,24,0.171641791,0.171641791
"Columbia County, Florida",112,24,0.171641791,0.171641791
"Blair County, Pennsylvania",112,24,0.171641791,0.171641791
"Rutherford County, North Carolina",112,24,0.171641791,0.171641791
"Tuscarawas County, Ohio",112,24,0.171641791,0.171641791
"Vermilion Parish, Louisiana",112,24,0.171641791,0.171641791
"Beaufort County, North Carolina",112,24,0.171641791,0.171641791
"Lowndes County, Mississippi",112,24,0.171641791,0.171641791
"Smith County, Tennessee",112,24,0.171641791,0.171641791
"Caroline County, Maryland",113,23,0.164179104,0.164179104
"Shelby County, Indiana",113,23,0.164179104,0.164179104
"Campbell County, Virginia",113,23,0.164179104,0.164179104
"Grant County, Arkansas",113,23,0.164179104,0.164179104
"Wyoming County, New York",113,23,0.164179104,0.164179104
"Burke County, North Carolina",113,23,0.164179104,0.164179104
"Edgefield County, South Carolina",113,23,0.164179104,0.164179104
"Lorain County, Ohio",113,23,0.164179104,0.164179104
"Cumberland County, New Jersey",113,23,0.164179104,0.164179104
"Pontotoc County, Oklahoma",113,23,0.164179104,0.164179104
"Northumberland County, Pennsylvania",113,23,0.164179104,0.164179104
"Wichita County, Texas",113,23,0.164179104,0.164179104
"Carroll County, Tennessee",113,23,0.164179104,0.164179104
"Schuyler County, Illinois",113,23,0.164179104,0.164179104
"Iberville Parish, Louisiana",113,23,0.164179104,0.164179104
"Warren County, Mississippi",113,23,0.164179104,0.164179104
"Bureau County, Illinois",113,23,0.164179104,0.164179104
"Creek County, Oklahoma",113,23,0.164179104,0.164179104
"Craven County, North Carolina",114,22,0.156716418,0.156716418
"Montgomery County, New York",114,22,0.156716418,0.156716418
"Sebastian County, Arkansas",114,22,0.156716418,0.156716418
"Greene County, Arkansas",114,22,0.156716418,0.156716418
"Washington County, Maryland",114,22,0.156716418,0.156716418
"Marion County, West Virginia",114,22,0.156716418,0.156716418
"Fulton County, New York",114,22,0.156716418,0.156716418
"Peach County, Georgia",114,22,0.156716418,0.156716418
"Randolph County, West Virginia",114,22,0.156716418,0.156716418
"Lewis County, New York",114,22,0.156716418,0.156716418
"Hickman County, Tennessee",114,22,0.156716418,0.156716418
"Preston County, West Virginia",114,22,0.156716418,0.156716418
"Independence County, Arkansas",114,22,0.156716418,0.156716418
"Grayson County, Texas",114,22,0.156716418,0.156716418
"Greene County, Pennsylvania",114,22,0.156716418,0.156716418
"Victoria County, Texas",114,22,0.156716418,0.156716418
"Jefferson County, Pennsylvania",114,22,0.156716418,0.156716418
"Warren County, Tennessee",114,22,0.156716418,0.156716418
"Trumbull County, Ohio",114,22,0.156716418,0.156716418
"Randolph County, North Carolina",114,22,0.156716418,0.156716418
"Jackson County, Oklahoma",115,21,0.149253731,0.149253731
"Howard County, Texas",115,21,0.149253731,0.149253731
"Gallia County, Ohio",115,21,0.149253731,0.149253731
"Pettis County, Missouri",115,21,0.149253731,0.149253731
"Pope County, Arkansas",115,21,0.149253731,0.149253731
"Davie County, North Carolina",115,21,0.149253731,0.149253731
"Morgan County, Illinois",115,21,0.149253731,0.149253731
"Fayette County, Pennsylvania",115,21,0.149253731,0.149253731
"Wayne County, Illinois",115,21,0.149253731,0.149253731
"Ashtabula County, Ohio",115,21,0.149253731,0.149253731
"Taylor County, Kentucky",115,21,0.149253731,0.149253731
"Daviess County, Kentucky",115,21,0.149253731,0.149253731
"Mineral County, West Virginia",115,21,0.149253731,0.149253731
"Iroquois County, Illinois",115,21,0.149253731,0.149253731
"Clearfield County, Pennsylvania",115,21,0.149253731,0.149253731
"Bourbon County, Kentucky",115,21,0.149253731,0.149253731
"Orange County, Indiana",115,21,0.149253731,0.149253731
"Steuben County, New York",115,21,0.149253731,0.149253731
"Autauga County, Alabama",115,21,0.149253731,0.149253731
"Polk County, Florida",116,20,0.141791045,0.141791045
"Salem County, New Jersey",116,20,0.141791045,0.141791045
"Anderson County, Tennessee",116,20,0.141791045,0.141791045
"Terrebonne Parish, Louisiana",116,20,0.141791045,0.141791045
"Jackson County, Mississippi",116,20,0.141791045,0.141791045
"Calhoun County, Alabama",116,20,0.141791045,0.141791045
"Dickson County, Tennessee",116,20,0.141791045,0.141791045
"Newton County, Missouri",116,20,0.141791045,0.141791045
"Stewart County, Tennessee",116,20,0.141791045,0.141791045
"Pasquotank County, North Carolina",116,20,0.141791045,0.141791045
"Rusk County, Texas",116,20,0.141791045,0.141791045
"Jefferson County, Tennessee",116,20,0.141791045,0.141791045
"LaPorte County, Indiana",116,20,0.141791045,0.141791045
"Pickens County, South Carolina",116,20,0.141791045,0.141791045
"Madison County, Indiana",117,19,0.134328358,0.134328358
"Christian County, Illinois",117,19,0.134328358,0.134328358
"Jefferson County, Illinois",117,19,0.134328358,0.134328358
"Marshall County, Tennessee",117,19,0.134328358,0.134328358
"Bradley County, Tennessee",117,19,0.134328358,0.134328358
"Oxford County, Maine",117,19,0.134328358,0.134328358
"Perry County, Ohio",117,19,0.134328358,0.134328358
"Bowie County, Texas",117,19,0.134328358,0.134328358
"Cayuga County, New York",117,19,0.134328358,0.134328358
"Marshall County, West Virginia",117,19,0.134328358,0.134328358
"Bond County, Illinois",117,19,0.134328358,0.134328358
"Jasper County, Missouri",117,19,0.134328358,0.134328358
"Surry County, North Carolina",118,18,0.126865672,0.126865672
"Hockley County, Texas",118,18,0.126865672,0.126865672
"Montgomery County, North Carolina",118,18,0.126865672,0.126865672
"Clark County, Kentucky",118,18,0.126865672,0.126865672
"Sullivan County, Indiana",118,18,0.126865672,0.126865672
"LaSalle County, Illinois",118,18,0.126865672,0.126865672
"Knox County, Indiana",118,18,0.126865672,0.126865672
"White County, Georgia",118,18,0.126865672,0.126865672
"Wood County, West Virginia",118,18,0.126865672,0.126865672
"Lee County, Illinois",118,18,0.126865672,0.126865672
"Floyd County, Georgia",118,18,0.126865672,0.126865672
"Boyle County, Kentucky",118,18,0.126865672,0.126865672
"Union County, Arkansas",119,17,0.119402985,0.119402985
"Kent County, Delaware",119,17,0.119402985,0.119402985
"Pierce County, Georgia",119,17,0.119402985,0.119402985
"Washington County, Georgia",119,17,0.119402985,0.119402985
"Tate County, Mississippi",119,17,0.119402985,0.119402985
"Ford County, Illinois",119,17,0.119402985,0.119402985
"Habersham County, Georgia",119,17,0.119402985,0.119402985
"Pike County, Missouri",119,17,0.119402985,0.119402985
"Granville County, North Carolina",119,17,0.119402985,0.119402985
"Gaston County, North Carolina",120,16,0.111940299,0.111940299
"Hamblen County, Tennessee",120,16,0.111940299,0.111940299
"Crawford County, Pennsylvania",120,16,0.111940299,0.111940299
"Crockett County, Tennessee",120,16,0.111940299,0.111940299
"Henderson County, Tennessee",120,16,0.111940299,0.111940299
"Chenango County, New York",120,16,0.111940299,0.111940299
"Boone County, Arkansas",120,16,0.111940299,0.111940299
"Tioga County, Pennsylvania",120,16,0.111940299,0.111940299
"Highland County, Ohio",120,16,0.111940299,0.111940299
"Indiana County, Pennsylvania",120,16,0.111940299,0.111940299
"Mobile County, Alabama",120,16,0.111940299,0.111940299
"Muskogee County, Oklahoma",120,16,0.111940299,0.111940299
"Alamance County, North Carolina",120,16,0.111940299,0.111940299
"Randolph County, Illinois",120,16,0.111940299,0.111940299
"Cooper County, Missouri",121,15,0.104477612,0.104477612
"Taylor County, West Virginia",121,15,0.104477612,0.104477612
"Washington County, Ohio",121,15,0.104477612,0.104477612
"Humphreys County, Tennessee",121,15,0.104477612,0.104477612
"Pickens County, Georgia",121,15,0.104477612,0.104477612
"Wharton County, Texas",121,15,0.104477612,0.104477612
"Richland County, Ohio",121,15,0.104477612,0.104477612
"Howard County, Missouri",121,15,0.104477612,0.104477612
"Hocking County, Ohio",121,15,0.104477612,0.104477612
"Henry County, Missouri",122,14,0.097014925,0.097014925
"Amherst County, Virginia",122,14,0.097014925,0.097014925
"Cleveland County, North Carolina",122,14,0.097014925,0.097014925
"Kankakee County, Illinois",122,14,0.097014925,0.097014925
"Sumter County, South Carolina",122,14,0.097014925,0.097014925
"Houston County, Alabama",122,14,0.097014925,0.097014925
"Lycoming County, Pennsylvania",122,14,0.097014925,0.097014925
"Lafourche Parish, Louisiana",122,14,0.097014925,0.097014925
"Webster County, Mississippi",123,13,0.089552239,0.089552239
"Anderson County, Texas",123,13,0.089552239,0.089552239
"Orleans County, New York",123,13,0.089552239,0.089552239
"Ohio County, Kentucky",123,13,0.089552239,0.089552239
"Clay County, Illinois",123,13,0.089552239,0.089552239
"Crawford County, Arkansas",123,13,0.089552239,0.089552239
"Clark County, Ohio",123,13,0.089552239,0.089552239
"Henry County, Indiana",123,13,0.089552239,0.089552239
"Spartanburg County, South Carolina",123,13,0.089552239,0.089552239
"Cattaraugus County, New York",124,12,0.082089552,0.082089552
"Hardin County, Texas",124,12,0.082089552,0.082089552
"Colleton County, South Carolina",124,12,0.082089552,0.082089552
"Fayette County, Illinois",124,12,0.082089552,0.082089552
"Appomattox County, Virginia",124,12,0.082089552,0.082089552
"Massac County, Illinois",124,12,0.082089552,0.082089552
"Harrison County, West Virginia",124,12,0.082089552,0.082089552
"Greene County, Indiana",124,12,0.082089552,0.082089552
"Greene County, Illinois",124,12,0.082089552,0.082089552
"Harrison County, Texas",125,11,0.074626866,0.074626866
"Grundy County, Missouri",125,11,0.074626866,0.074626866
"Lawrence County, Tennessee",125,11,0.074626866,0.074626866
"Huntingdon County, Pennsylvania",125,11,0.074626866,0.074626866
"Anderson County, South Carolina",125,11,0.074626866,0.074626866
"Dale County, Alabama",125,11,0.074626866,0.074626866
"Yadkin County, North Carolina",125,11,0.074626866,0.074626866
"Upshur County, West Virginia",125,11,0.074626866,0.074626866
"Etowah County, Alabama",126,10,0.067164179,0.067164179
"Belmont County, Ohio",126,10,0.067164179,0.067164179
"Wayne County, North Carolina",126,10,0.067164179,0.067164179
"Coffee County, Tennessee",126,10,0.067164179,0.067164179
"Lee County, North Carolina",126,10,0.067164179,0.067164179
"Scott County, Missouri",126,10,0.067164179,0.067164179
"Colbert County, Alabama",126,10,0.067164179,0.067164179
"Lamar County, Georgia",126,10,0.067164179,0.067164179
"Pickaway County, Ohio",126,10,0.067164179,0.067164179
"Franklin County, Tennessee",127,9,0.059701493,0.059701493
"Wayne County, Indiana",127,9,0.059701493,0.059701493
"Stephens County, Oklahoma",127,9,0.059701493,0.059701493
"Bryan County, Oklahoma",127,9,0.059701493,0.059701493
"Walker County, Georgia",127,9,0.059701493,0.059701493
"Oconee County, South Carolina",127,9,0.059701493,0.059701493
"Columbia County, Pennsylvania",127,9,0.059701493,0.059701493
"Marshall County, Alabama",127,9,0.059701493,0.059701493
"Montgomery County, Illinois",127,9,0.059701493,0.059701493
"Pike County, Illinois",127,9,0.059701493,0.059701493
"Garfield County, Oklahoma",128,8,0.052238806,0.052238806
"Nash County, North Carolina",128,8,0.052238806,0.052238806
"Linn County, Missouri",128,8,0.052238806,0.052238806
"Osage County, Oklahoma",128,8,0.052238806,0.052238806
"Carter County, Oklahoma",128,8,0.052238806,0.052238806
"Newberry County, South Carolina",128,8,0.052238806,0.052238806
"Lamar County, Texas",128,8,0.052238806,0.052238806
"Angelina County, Texas",128,8,0.052238806,0.052238806
"Cullman County, Alabama",128,8,0.052238806,0.052238806
"Davidson County, North Carolina",129,7,0.044776119,0.044776119
"Brown County, Ohio",129,7,0.044776119,0.044776119
"Guernsey County, Ohio",129,7,0.044776119,0.044776119
"Saline County, Missouri",129,7,0.044776119,0.044776119
"Pottawatomie County, Oklahoma",129,7,0.044776119,0.044776119
"Logan County, Kentucky",129,7,0.044776119,0.044776119
"Shenandoah County, Virginia",129,7,0.044776119,0.044776119
"Garrard County, Kentucky",129,7,0.044776119,0.044776119
"Clinton County, Ohio",130,6,0.037313433,0.037313433
"Clarion County, Pennsylvania",130,6,0.037313433,0.037313433
"Rowan County, North Carolina",130,6,0.037313433,0.037313433
"Oswego County, New York",130,6,0.037313433,0.037313433
"Person County, North Carolina",130,6,0.037313433,0.037313433
"Fulton County, Illinois",131,5,0.029850746,0.029850746
"Aiken County, South Carolina",131,5,0.029850746,0.029850746
"White County, Arkansas",131,5,0.029850746,0.029850746
"Morgan County, Alabama",131,5,0.029850746,0.029850746
"Washington County, Oklahoma",132,4,0.02238806,0.02238806
"Kay County, Oklahoma",132,4,0.02238806,0.02238806
"Kershaw County, South Carolina",132,4,0.02238806,0.02238806
"Macoupin County, Illinois",132,4,0.02238806,0.02238806
"Ross County, Ohio",132,4,0.02238806,0.02238806
"Stanly County, North Carolina",133,3,0.014925373,0.014925373
"Muskingum County, Ohio",133,3,0.014925373,0.014925373
"Clinton County, Pennsylvania",133,3,0.014925373,0.014925373
"Marion County, Missouri",133,3,0.014925373,0.014925373
"Henderson County, Texas",134,2,0.007462687,0.007462687
"Lauderdale County, Alabama",134,2,0.007462687,0.007462687
"Pearl River County, Mississippi",134,2,0.007462687,0.007462687
"Coffee County, Alabama",135,1,0,0
