Geographic Area,Rank,Reversed Rank,Normalized Reversed Rank,HealthEvac_SVI
"St. Tammany Parish, Louisiana",70,43,0.378378378,0.378378378
"Maury County, Tennessee",70,43,0.378378378,0.378378378
"Nelson County, Kentucky",70,43,0.378378378,0.378378378
"Chilton County, Alabama",70,43,0.378378378,0.378378378
"Beauregard Parish, Louisiana",70,43,0.378378378,0.378378378
"Warren County, Kentucky",70,43,0.378378378,0.378378378
"Jasper County, Illinois",70,43,0.378378378,0.378378378
"Jefferson County, Florida",70,43,0.378378378,0.378378378
"Drew County, Arkansas",70,43,0.378378378,0.378378378
"Banks County, Georgia",70,43,0.378378378,0.378378378
"White County, Tennessee",70,43,0.378378378,0.378378378
"Marshall County, West Virginia",70,43,0.378378378,0.378378378
"Escambia County, Alabama",70,43,0.378378378,0.378378378
"Bartow County, Georgia",70,43,0.378378378,0.378378378
"Wicomico County, Maryland",70,43,0.378378378,0.378378378
"Talladega County, Alabama",70,43,0.378378378,0.378378378
"Jackson County, Alabama",70,43,0.378378378,0.378378378
"Florence County, South Carolina",70,43,0.378378378,0.378378378
"Coffee County, Tennessee",70,43,0.378378378,0.378378378
"Laclede County, Missouri",70,43,0.378378378,0.378378378
"Caldwell County, Texas",71,42,0.369369369,0.369369369
"Greene County, Missouri",71,42,0.369369369,0.369369369
"Montgomery County, Georgia",71,42,0.369369369,0.369369369
"Meigs County, Tennessee",71,42,0.369369369,0.369369369
"Lincoln County, Maine",71,42,0.369369369,0.369369369
"Warren County, Illinois",71,42,0.369369369,0.369369369
"Perquimans County, North Carolina",71,42,0.369369369,0.369369369
"Comanche County, Oklahoma",71,42,0.369369369,0.369369369
"Tuscarawas County, Ohio",71,42,0.369369369,0.369369369
"Hamilton County, Illinois",71,42,0.369369369,0.369369369
"Vance County, North Carolina",71,42,0.369369369,0.369369369
"Madison County, Virginia",71,42,0.369369369,0.369369369
"Volusia County, Florida",71,42,0.369369369,0.369369369
"Smith County, Tennessee",71,42,0.369369369,0.369369369
"Saluda County, South Carolina",71,42,0.369369369,0.369369369
"Cumberland County, Illinois",71,42,0.369369369,0.369369369
"Washington County, Oklahoma",71,42,0.369369369,0.369369369
"Perry County, Pennsylvania",71,42,0.369369369,0.369369369
"Bartholomew County, Indiana",71,42,0.369369369,0.369369369
"Tuscaloosa County, Alabama",71,42,0.369369369,0.369369369
"Hart County, Georgia",71,42,0.369369369,0.369369369
"Ashe County, North Carolina",72,41,0.36036036,0.36036036
"Botetourt County, Virginia",72,41,0.36036036,0.36036036
"Cuyahoga County, Ohio",72,41,0.36036036,0.36036036
"Bibb County, Georgia",72,41,0.36036036,0.36036036
"Knox County, Maine",72,41,0.36036036,0.36036036
"Perry County, Missouri",72,41,0.36036036,0.36036036
"Shelby County, Missouri",72,41,0.36036036,0.36036036
"Washington County, Ohio",72,41,0.36036036,0.36036036
"Warren County, Pennsylvania",72,41,0.36036036,0.36036036
"Nodaway County, Missouri",72,41,0.36036036,0.36036036
"Lumpkin County, Georgia",72,41,0.36036036,0.36036036
"Overton County, Tennessee",72,41,0.36036036,0.36036036
"Marshall County, Illinois",72,41,0.36036036,0.36036036
"Amelia County, Virginia",72,41,0.36036036,0.36036036
"Madison County, North Carolina",72,41,0.36036036,0.36036036
"Wells County, Indiana",72,41,0.36036036,0.36036036
"Washington County, Texas",72,41,0.36036036,0.36036036
"DeKalb County, Alabama",72,41,0.36036036,0.36036036
"Douglas County, Illinois",72,41,0.36036036,0.36036036
"Montgomery County, Missouri",72,41,0.36036036,0.36036036
"Pulaski County, Indiana",72,41,0.36036036,0.36036036
"Faulkner County, Arkansas",72,41,0.36036036,0.36036036
"Clark County, Illinois",72,41,0.36036036,0.36036036
"Georgetown County, South Carolina",73,40,0.351351351,0.351351351
"Dade County, Georgia",73,40,0.351351351,0.351351351
"Hinds County, Mississippi",73,40,0.351351351,0.351351351
"Tazewell County, Virginia",73,40,0.351351351,0.351351351
"Clinton County, Missouri",73,40,0.351351351,0.351351351
"Tipton County, Tennessee",73,40,0.351351351,0.351351351
"Macon County, Missouri",73,40,0.351351351,0.351351351
"Appling County, Georgia",73,40,0.351351351,0.351351351
"Troup County, Georgia",73,40,0.351351351,0.351351351
"Greene County, North Carolina",73,40,0.351351351,0.351351351
"Bedford County, Virginia",73,40,0.351351351,0.351351351
"White County, Illinois",73,40,0.351351351,0.351351351
"Isle of Wight County, Virginia",73,40,0.351351351,0.351351351
"Andrew County, Missouri",73,40,0.351351351,0.351351351
"Madison County, Kentucky",73,40,0.351351351,0.351351351
"Crawford County, Ohio",73,40,0.351351351,0.351351351
"Posey County, Indiana",73,40,0.351351351,0.351351351
"Nolan County, Texas",73,40,0.351351351,0.351351351
"Hale County, Texas",73,40,0.351351351,0.351351351
"Ste. Genevieve County, Missouri",73,40,0.351351351,0.351351351
"Levy County, Florida",74,39,0.342342342,0.342342342
"Cameron Parish, Louisiana",74,39,0.342342342,0.342342342
"Abbeville County, South Carolina",74,39,0.342342342,0.342342342
"Hancock County, Maine",74,39,0.342342342,0.342342342
"Franklin County, Maine",74,39,0.342342342,0.342342342
"Westmoreland County, Pennsylvania",74,39,0.342342342,0.342342342
"Henderson County, North Carolina",74,39,0.342342342,0.342342342
"Henderson County, Illinois",74,39,0.342342342,0.342342342
"Coshocton County, Ohio",74,39,0.342342342,0.342342342
"Bladen County, North Carolina",74,39,0.342342342,0.342342342
"Parke County, Indiana",74,39,0.342342342,0.342342342
"Richmond County, Georgia",74,39,0.342342342,0.342342342
"Howard County, Texas",74,39,0.342342342,0.342342342
"Winchester city, Virginia",74,39,0.342342342,0.342342342
"Cooke County, Texas",74,39,0.342342342,0.342342342
"Dauphin County, Pennsylvania",74,39,0.342342342,0.342342342
"Cecil County, Maryland",74,39,0.342342342,0.342342342
"Grant Parish, Louisiana",74,39,0.342342342,0.342342342
"Richmond County, North Carolina",74,39,0.342342342,0.342342342
"Clearfield County, Pennsylvania",74,39,0.342342342,0.342342342
"Berrien County, Georgia",74,39,0.342342342,0.342342342
"Darlington County, South Carolina",74,39,0.342342342,0.342342342
"Kay County, Oklahoma",74,39,0.342342342,0.342342342
"Giles County, Tennessee",74,39,0.342342342,0.342342342
"Trumbull County, Ohio",74,39,0.342342342,0.342342342
"Pulaski County, Arkansas",75,38,0.333333333,0.333333333
"Tallapoosa County, Alabama",75,38,0.333333333,0.333333333
"Harrison County, Mississippi",75,38,0.333333333,0.333333333
"Yancey County, North Carolina",75,38,0.333333333,0.333333333
"Nelson County, Virginia",75,38,0.333333333,0.333333333
"Baldwin County, Georgia",75,38,0.333333333,0.333333333
"Fairfield County, Ohio",75,38,0.333333333,0.333333333
"Morris County, Texas",75,38,0.333333333,0.333333333
"DeKalb County, Missouri",75,38,0.333333333,0.333333333
"Waldo County, Maine",75,38,0.333333333,0.333333333
"Caroline County, Virginia",75,38,0.333333333,0.333333333
"Lee County, Mississippi",75,38,0.333333333,0.333333333
"Union County, Illinois",75,38,0.333333333,0.333333333
"Woods County, Oklahoma",75,38,0.333333333,0.333333333
"Hot Spring County, Arkansas",75,38,0.333333333,0.333333333
"Hancock County, Ohio",75,38,0.333333333,0.333333333
"Owen County, Indiana",75,38,0.333333333,0.333333333
"Union County, Mississippi",75,38,0.333333333,0.333333333
"Jersey County, Illinois",75,38,0.333333333,0.333333333
"Henry County, Ohio",75,38,0.333333333,0.333333333
"Putnam County, West Virginia",75,38,0.333333333,0.333333333
"Montgomery County, Indiana",75,38,0.333333333,0.333333333
"Stokes County, North Carolina",75,38,0.333333333,0.333333333
"Haralson County, Georgia",75,38,0.333333333,0.333333333
"Roanoke city, Virginia",75,38,0.333333333,0.333333333
"Franklin County, Indiana",75,38,0.333333333,0.333333333
"Jackson County, Missouri",76,37,0.324324324,0.324324324
"Itawamba County, Mississippi",76,37,0.324324324,0.324324324
"Washington County, Maryland",76,37,0.324324324,0.324324324
"Suwannee County, Florida",76,37,0.324324324,0.324324324
"McDowell County, North Carolina",76,37,0.324324324,0.324324324
"Madison County, Illinois",76,37,0.324324324,0.324324324
"Polk County, Texas",76,37,0.324324324,0.324324324
"Spartanburg County, South Carolina",76,37,0.324324324,0.324324324
"Jasper County, Indiana",76,37,0.324324324,0.324324324
"Crawford County, Missouri",76,37,0.324324324,0.324324324
"Potter County, Texas",76,37,0.324324324,0.324324324
"Early County, Georgia",76,37,0.324324324,0.324324324
"Champaign County, Ohio",76,37,0.324324324,0.324324324
"Upson County, Georgia",76,37,0.324324324,0.324324324
"Snyder County, Pennsylvania",76,37,0.324324324,0.324324324
"Lonoke County, Arkansas",76,37,0.324324324,0.324324324
"Bullitt County, Kentucky",76,37,0.324324324,0.324324324
"Schoharie County, New York",77,36,0.315315315,0.315315315
"Staunton city, Virginia",77,36,0.315315315,0.315315315
"Berkeley County, West Virginia",77,36,0.315315315,0.315315315
"Bossier Parish, Louisiana",77,36,0.315315315,0.315315315
"Putnam County, Indiana",77,36,0.315315315,0.315315315
"Stephens County, Oklahoma",77,36,0.315315315,0.315315315
"Woodford County, Kentucky",77,36,0.315315315,0.315315315
"Henry County, Kentucky",77,36,0.315315315,0.315315315
"Christian County, Kentucky",77,36,0.315315315,0.315315315
"Harnett County, North Carolina",77,36,0.315315315,0.315315315
"Rockingham County, Virginia",77,36,0.315315315,0.315315315
"Gates County, North Carolina",77,36,0.315315315,0.315315315
"Mercer County, Illinois",77,36,0.315315315,0.315315315
"Warren County, Tennessee",77,36,0.315315315,0.315315315
"Vermillion County, Indiana",77,36,0.315315315,0.315315315
"Stark County, Illinois",77,36,0.315315315,0.315315315
"Allegany County, Maryland",77,36,0.315315315,0.315315315
"Miami County, Ohio",77,36,0.315315315,0.315315315
"Burke County, Georgia",77,36,0.315315315,0.315315315
"Floyd County, Indiana",77,36,0.315315315,0.315315315
"Orange County, Virginia",77,36,0.315315315,0.315315315
"Starke County, Indiana",77,36,0.315315315,0.315315315
"Spencer County, Indiana",78,35,0.306306306,0.306306306
"Gilmer County, Georgia",78,35,0.306306306,0.306306306
"Columbus County, North Carolina",78,35,0.306306306,0.306306306
"Covington County, Alabama",78,35,0.306306306,0.306306306
"Glynn County, Georgia",78,35,0.306306306,0.306306306
"Tattnall County, Georgia",78,35,0.306306306,0.306306306
"Grady County, Georgia",78,35,0.306306306,0.306306306
"Clermont County, Ohio",78,35,0.306306306,0.306306306
"Union County, Florida",78,35,0.306306306,0.306306306
"Bay County, Florida",78,35,0.306306306,0.306306306
"Boyle County, Kentucky",78,35,0.306306306,0.306306306
"Richland County, Illinois",78,35,0.306306306,0.306306306
"Scott County, Illinois",78,35,0.306306306,0.306306306
"Union County, Tennessee",78,35,0.306306306,0.306306306
"Jefferson Davis Parish, Louisiana",78,35,0.306306306,0.306306306
"Rock Island County, Illinois",78,35,0.306306306,0.306306306
"Putnam County, Tennessee",78,35,0.306306306,0.306306306
"Brantley County, Georgia",78,35,0.306306306,0.306306306
"Navarro County, Texas",78,35,0.306306306,0.306306306
"Mason County, Illinois",79,34,0.297297297,0.297297297
"Stephens County, Georgia",79,34,0.297297297,0.297297297
"Warren County, Missouri",79,34,0.297297297,0.297297297
"Ware County, Georgia",79,34,0.297297297,0.297297297
"Christian County, Illinois",79,34,0.297297297,0.297297297
"Mitchell County, North Carolina",79,34,0.297297297,0.297297297
"Howard County, Indiana",79,34,0.297297297,0.297297297
"Taylor County, Kentucky",79,34,0.297297297,0.297297297
"Lincoln County, Kentucky",79,34,0.297297297,0.297297297
"Jessamine County, Kentucky",79,34,0.297297297,0.297297297
"Haywood County, North Carolina",79,34,0.297297297,0.297297297
"Henry County, Indiana",79,34,0.297297297,0.297297297
"Crawford County, Illinois",79,34,0.297297297,0.297297297
"Loudon County, Tennessee",79,34,0.297297297,0.297297297
"Coles County, Illinois",79,34,0.297297297,0.297297297
"St. Lawrence County, New York",79,34,0.297297297,0.297297297
"Lincoln County, North Carolina",79,34,0.297297297,0.297297297
"Independence County, Arkansas",79,34,0.297297297,0.297297297
"Madison County, Missouri",79,34,0.297297297,0.297297297
"Polk County, Georgia",79,34,0.297297297,0.297297297
"Schuyler County, Illinois",79,34,0.297297297,0.297297297
"Iberia Parish, Louisiana",80,33,0.288288288,0.288288288
"Page County, Virginia",80,33,0.288288288,0.288288288
"Jefferson County, Kentucky",80,33,0.288288288,0.288288288
"Jasper County, South Carolina",80,33,0.288288288,0.288288288
"Southampton County, Virginia",80,33,0.288288288,0.288288288
"Meade County, Kentucky",80,33,0.288288288,0.288288288
"Sebastian County, Arkansas",80,33,0.288288288,0.288288288
"Acadia Parish, Louisiana",80,33,0.288288288,0.288288288
"Defiance County, Ohio",80,33,0.288288288,0.288288288
"Taylor County, Texas",80,33,0.288288288,0.288288288
"Kent County, Delaware",80,33,0.288288288,0.288288288
"Robertson County, Tennessee",80,33,0.288288288,0.288288288
"Summit County, Ohio",80,33,0.288288288,0.288288288
"St. Joseph County, Indiana",80,33,0.288288288,0.288288288
"Portsmouth city, Virginia",80,33,0.288288288,0.288288288
"Toombs County, Georgia",80,33,0.288288288,0.288288288
"Lawrence County, Tennessee",80,33,0.288288288,0.288288288
"Sullivan County, New Hampshire",80,33,0.288288288,0.288288288
"St. Clair County, Illinois",80,33,0.288288288,0.288288288
"Cook County, Georgia",80,33,0.288288288,0.288288288
"Dorchester County, Maryland",80,33,0.288288288,0.288288288
"Clinton County, New York",80,33,0.288288288,0.288288288
"Rapides Parish, Louisiana",80,33,0.288288288,0.288288288
"Morgan County, Indiana",80,33,0.288288288,0.288288288
"Ralls County, Missouri",80,33,0.288288288,0.288288288
"Jefferson County, Alabama",81,32,0.279279279,0.279279279
"Ohio County, West Virginia",81,32,0.279279279,0.279279279
"Butts County, Georgia",81,32,0.279279279,0.279279279
"Anderson County, Kentucky",81,32,0.279279279,0.279279279
"Potter County, Pennsylvania",81,32,0.279279279,0.279279279
"Ross County, Ohio",81,32,0.279279279,0.279279279
"Cape Girardeau County, Missouri",81,32,0.279279279,0.279279279
"Laurens County, Georgia",81,32,0.279279279,0.279279279
"Adams County, Pennsylvania",81,32,0.279279279,0.279279279
"Tate County, Mississippi",81,32,0.279279279,0.279279279
"Livingston County, Illinois",81,32,0.279279279,0.279279279
"Baldwin County, Alabama",81,32,0.279279279,0.279279279
"Jasper County, Georgia",81,32,0.279279279,0.279279279
"Hickman County, Tennessee",81,32,0.279279279,0.279279279
"Atchison County, Missouri",81,32,0.279279279,0.279279279
"Waynesboro city, Virginia",81,32,0.279279279,0.279279279
"Huntington County, Indiana",81,32,0.279279279,0.279279279
"Livingston County, Missouri",81,32,0.279279279,0.279279279
"Hamilton County, Tennessee",81,32,0.279279279,0.279279279
"Wilson County, North Carolina",81,32,0.279279279,0.279279279
"St. John the Baptist Parish, Louisiana",82,31,0.27027027,0.27027027
"Whiteside County, Illinois",82,31,0.27027027,0.27027027
"Anderson County, Tennessee",82,31,0.27027027,0.27027027
"Stephens County, Texas",82,31,0.27027027,0.27027027
"Monroe County, Georgia",82,31,0.27027027,0.27027027
"Washington County, Pennsylvania",82,31,0.27027027,0.27027027
"Upshur County, Texas",82,31,0.27027027,0.27027027
"Allen Parish, Louisiana",82,31,0.27027027,0.27027027
"Spalding County, Georgia",82,31,0.27027027,0.27027027
"Carlisle County, Kentucky",82,31,0.27027027,0.27027027
"Clay County, Indiana",82,31,0.27027027,0.27027027
"Henry County, Missouri",82,31,0.27027027,0.27027027
"Surry County, Virginia",82,31,0.27027027,0.27027027
"Floyd County, Virginia",82,31,0.27027027,0.27027027
"San Jacinto County, Texas",82,31,0.27027027,0.27027027
"Tift County, Georgia",82,31,0.27027027,0.27027027
"Jones County, Georgia",82,31,0.27027027,0.27027027
"Forrest County, Mississippi",82,31,0.27027027,0.27027027
"Randolph County, Indiana",82,31,0.27027027,0.27027027
"Clark County, Indiana",82,31,0.27027027,0.27027027
"Pike County, Alabama",82,31,0.27027027,0.27027027
"Stoddard County, Missouri",83,30,0.261261261,0.261261261
"Dyer County, Tennessee",83,30,0.261261261,0.261261261
"Warren County, Virginia",83,30,0.261261261,0.261261261
"Barren County, Kentucky",83,30,0.261261261,0.261261261
"St. Mary Parish, Louisiana",83,30,0.261261261,0.261261261
"Franklin County, New York",83,30,0.261261261,0.261261261
"Archer County, Texas",83,30,0.261261261,0.261261261
"Accomack County, Virginia",83,30,0.261261261,0.261261261
"Huron County, Ohio",83,30,0.261261261,0.261261261
"Mason County, Kentucky",83,30,0.261261261,0.261261261
"St. James Parish, Louisiana",83,30,0.261261261,0.261261261
"Switzerland County, Indiana",83,30,0.261261261,0.261261261
"De Witt County, Illinois",83,30,0.261261261,0.261261261
"Harrison County, West Virginia",83,30,0.261261261,0.261261261
"Clay County, Illinois",83,30,0.261261261,0.261261261
"McMinn County, Tennessee",83,30,0.261261261,0.261261261
"Ashland County, Ohio",83,30,0.261261261,0.261261261
"Monroe County, Pennsylvania",83,30,0.261261261,0.261261261
"Pickens County, South Carolina",83,30,0.261261261,0.261261261
"Fayette County, Tennessee",84,29,0.252252252,0.252252252
"Hampton city, Virginia",84,29,0.252252252,0.252252252
"Elmore County, Alabama",84,29,0.252252252,0.252252252
"Salem County, New Jersey",84,29,0.252252252,0.252252252
"Logan County, Illinois",84,29,0.252252252,0.252252252
"Marshall County, Tennessee",84,29,0.252252252,0.252252252
"Lancaster County, South Carolina",84,29,0.252252252,0.252252252
"Palo Pinto County, Texas",84,29,0.252252252,0.252252252
"Jackson County, Oklahoma",84,29,0.252252252,0.252252252
"Williamson County, Illinois",84,29,0.252252252,0.252252252
"Bleckley County, Georgia",84,29,0.252252252,0.252252252
"Wood County, West Virginia",84,29,0.252252252,0.252252252
"Mercer County, Pennsylvania",84,29,0.252252252,0.252252252
"Muscogee County, Georgia",84,29,0.252252252,0.252252252
"Ottawa County, Ohio",84,29,0.252252252,0.252252252
"Montgomery County, Illinois",84,29,0.252252252,0.252252252
"Benton County, Indiana",84,29,0.252252252,0.252252252
"Lewis County, New York",84,29,0.252252252,0.252252252
"Fayette County, Illinois",85,28,0.243243243,0.243243243
"Jefferson County, Ohio",85,28,0.243243243,0.243243243
"St. Lucie County, Florida",85,28,0.243243243,0.243243243
"Gaston County, North Carolina",85,28,0.243243243,0.243243243
"Logan County, Oklahoma",85,28,0.243243243,0.243243243
"Hunt County, Texas",85,28,0.243243243,0.243243243
"Fountain County, Indiana",85,28,0.243243243,0.243243243
"Lawrence County, Indiana",85,28,0.243243243,0.243243243
"Kershaw County, South Carolina",85,28,0.243243243,0.243243243
"Wayne County, Ohio",85,28,0.243243243,0.243243243
"Alleghany County, Virginia",85,28,0.243243243,0.243243243
"Walton County, Georgia",85,28,0.243243243,0.243243243
"Hancock County, Illinois",85,28,0.243243243,0.243243243
"Allen County, Ohio",85,28,0.243243243,0.243243243
"Gray County, Texas",85,28,0.243243243,0.243243243
"Pender County, North Carolina",86,27,0.234234234,0.234234234
"Lincoln County, Tennessee",86,27,0.234234234,0.234234234
"Wyoming County, New York",86,27,0.234234234,0.234234234
"Belmont County, Ohio",86,27,0.234234234,0.234234234
"Jefferson Parish, Louisiana",86,27,0.234234234,0.234234234
"Tom Green County, Texas",86,27,0.234234234,0.234234234
"Henderson County, Tennessee",86,27,0.234234234,0.234234234
"Hockley County, Texas",86,27,0.234234234,0.234234234
"Richmond County, Virginia",86,27,0.234234234,0.234234234
"Hardin County, Ohio",86,27,0.234234234,0.234234234
"Coffee County, Georgia",86,27,0.234234234,0.234234234
"Gordon County, Georgia",86,27,0.234234234,0.234234234
"Sussex County, Virginia",86,27,0.234234234,0.234234234
"Wagoner County, Oklahoma",86,27,0.234234234,0.234234234
"Allegany County, New York",86,27,0.234234234,0.234234234
"Limestone County, Alabama",86,27,0.234234234,0.234234234
"Berks County, Pennsylvania",86,27,0.234234234,0.234234234
"Lincoln County, Mississippi",86,27,0.234234234,0.234234234
"Vanderburgh County, Indiana",86,27,0.234234234,0.234234234
"Cambria County, Pennsylvania",86,27,0.234234234,0.234234234
"Catoosa County, Georgia",86,27,0.234234234,0.234234234
"Henderson County, Kentucky",86,27,0.234234234,0.234234234
"Craighead County, Arkansas",86,27,0.234234234,0.234234234
"Escambia County, Florida",87,26,0.225225225,0.225225225
"Appomattox County, Virginia",87,26,0.225225225,0.225225225
"Lewis County, Missouri",87,26,0.225225225,0.225225225
"Perry County, Illinois",87,26,0.225225225,0.225225225
"Vernon Parish, Louisiana",87,26,0.225225225,0.225225225
"Washington County, Georgia",87,26,0.225225225,0.225225225
"Glascock County, Georgia",87,26,0.225225225,0.225225225
"Lackawanna County, Pennsylvania",87,26,0.225225225,0.225225225
"Warren County, Mississippi",87,26,0.225225225,0.225225225
"Ripley County, Indiana",87,26,0.225225225,0.225225225
"Oswego County, New York",87,26,0.225225225,0.225225225
"Portage County, Ohio",87,26,0.225225225,0.225225225
"Alamance County, North Carolina",87,26,0.225225225,0.225225225
"Vigo County, Indiana",87,26,0.225225225,0.225225225
"Wayne County, New York",88,25,0.216216216,0.216216216
"Rockbridge County, Virginia",88,25,0.216216216,0.216216216
"Madison County, Ohio",88,25,0.216216216,0.216216216
"Tulsa County, Oklahoma",88,25,0.216216216,0.216216216
"Cheatham County, Tennessee",88,25,0.216216216,0.216216216
"Carroll County, Missouri",88,25,0.216216216,0.216216216
"Delaware County, New York",88,25,0.216216216,0.216216216
"Garrard County, Kentucky",88,25,0.216216216,0.216216216
"Wilkes County, Georgia",88,25,0.216216216,0.216216216
"Baker County, Florida",88,25,0.216216216,0.216216216
"Augusta County, Virginia",88,25,0.216216216,0.216216216
"Sullivan County, New York",88,25,0.216216216,0.216216216
"Ohio County, Kentucky",88,25,0.216216216,0.216216216
"Lucas County, Ohio",88,25,0.216216216,0.216216216
"Creek County, Oklahoma",88,25,0.216216216,0.216216216
"Sussex County, Delaware",88,25,0.216216216,0.216216216
"Columbia County, Pennsylvania",88,25,0.216216216,0.216216216
"Mineral County, West Virginia",88,25,0.216216216,0.216216216
"Lawrence County, Missouri",88,25,0.216216216,0.216216216
"Steuben County, New York",88,25,0.216216216,0.216216216
"McCracken County, Kentucky",88,25,0.216216216,0.216216216
"Ashtabula County, Ohio",89,24,0.207207207,0.207207207
"Graves County, Kentucky",89,24,0.207207207,0.207207207
"Cherokee County, South Carolina",89,24,0.207207207,0.207207207
"Simpson County, Mississippi",89,24,0.207207207,0.207207207
"Lafayette County, Missouri",89,24,0.207207207,0.207207207
"Sumter County, South Carolina",89,24,0.207207207,0.207207207
"Peach County, Georgia",89,24,0.207207207,0.207207207
"Franklin County, Missouri",89,24,0.207207207,0.207207207
"Bedford County, Tennessee",89,24,0.207207207,0.207207207
"Huntingdon County, Pennsylvania",89,24,0.207207207,0.207207207
"Buchanan County, Missouri",89,24,0.207207207,0.207207207
"Grundy County, Missouri",89,24,0.207207207,0.207207207
"Fulton County, Ohio",89,24,0.207207207,0.207207207
"Bourbon County, Kentucky",89,24,0.207207207,0.207207207
"Wabash County, Illinois",89,24,0.207207207,0.207207207
"Calcasieu Parish, Louisiana",89,24,0.207207207,0.207207207
"Marion County, Missouri",89,24,0.207207207,0.207207207
"Shelby County, Indiana",90,23,0.198198198,0.198198198
"Jennings County, Indiana",90,23,0.198198198,0.198198198
"Burke County, North Carolina",90,23,0.198198198,0.198198198
"Yadkin County, North Carolina",90,23,0.198198198,0.198198198
"Bradley County, Tennessee",90,23,0.198198198,0.198198198
"Tioga County, New York",90,23,0.198198198,0.198198198
"Vermilion County, Illinois",90,23,0.198198198,0.198198198
"Erie County, Ohio",90,23,0.198198198,0.198198198
"Camden County, Missouri",90,23,0.198198198,0.198198198
"Erie County, Pennsylvania",90,23,0.198198198,0.198198198
"Blair County, Pennsylvania",90,23,0.198198198,0.198198198
"Bradford County, Pennsylvania",90,23,0.198198198,0.198198198
"Wharton County, Texas",90,23,0.198198198,0.198198198
"Greenwood County, South Carolina",90,23,0.198198198,0.198198198
"Miller County, Arkansas",90,23,0.198198198,0.198198198
"Pickens County, Georgia",90,23,0.198198198,0.198198198
"Lamar County, Georgia",90,23,0.198198198,0.198198198
"Assumption Parish, Louisiana",90,23,0.198198198,0.198198198
"Luzerne County, Pennsylvania",91,22,0.189189189,0.189189189
"Lebanon County, Pennsylvania",91,22,0.189189189,0.189189189
"Fulton County, New York",91,22,0.189189189,0.189189189
"Garfield County, Oklahoma",91,22,0.189189189,0.189189189
"Madison County, Tennessee",91,22,0.189189189,0.189189189
"Licking County, Ohio",91,22,0.189189189,0.189189189
"Venango County, Pennsylvania",91,22,0.189189189,0.189189189
"Madison County, Indiana",91,22,0.189189189,0.189189189
"Franklin County, Pennsylvania",91,22,0.189189189,0.189189189
"Calhoun County, Alabama",91,22,0.189189189,0.189189189
"Marion County, Illinois",91,22,0.189189189,0.189189189
"Pulaski County, Virginia",91,22,0.189189189,0.189189189
"Dinwiddie County, Virginia",91,22,0.189189189,0.189189189
"Oconee County, South Carolina",91,22,0.189189189,0.189189189
"Mahoning County, Ohio",91,22,0.189189189,0.189189189
"Wilkes County, North Carolina",91,22,0.189189189,0.189189189
"Miller County, Missouri",91,22,0.189189189,0.189189189
"Callaway County, Missouri",91,22,0.189189189,0.189189189
"Polk County, Missouri",92,21,0.18018018,0.18018018
"Lawrence County, Illinois",92,21,0.18018018,0.18018018
"Sevier County, Tennessee",92,21,0.18018018,0.18018018
"Colleton County, South Carolina",92,21,0.18018018,0.18018018
"Cattaraugus County, New York",92,21,0.18018018,0.18018018
"Winnebago County, Illinois",92,21,0.18018018,0.18018018
"Randolph County, Illinois",92,21,0.18018018,0.18018018
"Montgomery County, Ohio",92,21,0.18018018,0.18018018
"Sullivan County, Tennessee",92,21,0.18018018,0.18018018
"Blount County, Tennessee",92,21,0.18018018,0.18018018
"Adams County, Illinois",92,21,0.18018018,0.18018018
"Bureau County, Illinois",92,21,0.18018018,0.18018018
"Jefferson County, Texas",92,21,0.18018018,0.18018018
"Franklin County, North Carolina",92,21,0.18018018,0.18018018
"Victoria County, Texas",92,21,0.18018018,0.18018018
"Gallia County, Ohio",93,20,0.171171171,0.171171171
"Knox County, Ohio",93,20,0.171171171,0.171171171
"Thomas County, Georgia",93,20,0.171171171,0.171171171
"Genesee County, New York",93,20,0.171171171,0.171171171
"Jackson County, Mississippi",93,20,0.171171171,0.171171171
"Marion County, West Virginia",93,20,0.171171171,0.171171171
"Audrain County, Missouri",93,20,0.171171171,0.171171171
"Ogle County, Illinois",93,20,0.171171171,0.171171171
"Shelby County, Illinois",93,20,0.171171171,0.171171171
"Pike County, Illinois",93,20,0.171171171,0.171171171
"Autauga County, Alabama",93,20,0.171171171,0.171171171
"Wyoming County, Pennsylvania",93,20,0.171171171,0.171171171
"Schuylkill County, Pennsylvania",93,20,0.171171171,0.171171171
"Bond County, Illinois",93,20,0.171171171,0.171171171
"Orleans County, New York",93,20,0.171171171,0.171171171
"Webster County, Mississippi",94,19,0.162162162,0.162162162
"Louisa County, Virginia",94,19,0.162162162,0.162162162
"Niagara County, New York",94,19,0.162162162,0.162162162
"Laurel County, Kentucky",94,19,0.162162162,0.162162162
"Columbia County, Florida",94,19,0.162162162,0.162162162
"Greene County, Illinois",94,19,0.162162162,0.162162162
"Morgan County, Illinois",94,19,0.162162162,0.162162162
"Cleveland County, North Carolina",94,19,0.162162162,0.162162162
"Rusk County, Texas",94,19,0.162162162,0.162162162
"Beaufort County, North Carolina",94,19,0.162162162,0.162162162
"Lowndes County, Mississippi",94,19,0.162162162,0.162162162
"Davidson County, North Carolina",94,19,0.162162162,0.162162162
"Beaver County, Pennsylvania",94,19,0.162162162,0.162162162
"Massac County, Illinois",94,19,0.162162162,0.162162162
"Anderson County, Texas",95,18,0.153153153,0.153153153
"Montgomery County, North Carolina",95,18,0.153153153,0.153153153
"Grady County, Oklahoma",95,18,0.153153153,0.153153153
